title,year,certificate,rating,description,director,writer,actors,genres
A Stranger Among Us,1992,1992,5.6,"Emily, a tough NYPD cop, is sent to an orthodox Jewish community to investigate a missing person plus $720,000 in missing diamonds. To solve what becomes a murder case, she has to join the community.",Sidney Lumet,"['Sidney Lumet', 'Robert J. Avrech']","['Melanie Griffith', 'Eric Thal', 'John Pankow', 'Tracy Pollan', 'Lee Richardson', 'Mia Sara', 'Jamey Sheridan', 'Jake Weber', ""Ro'ee Levi"", 'David Rosenbaum', 'Ruth Vool', 'David Margulies', 'Edward Rogers III', 'Maurice Schell', 'James Gandolfini', 'Christopher Collins', 'Burtt Harris', 'Ira Rubin']",Sidney Lumet
Look Who's Talking Too,1990,1990,4.6,"This time, a new baby is on the way, and it's a girl. Wrapped together with the standard conflict between mother and father, Mikey engages in a bit of sibling rivalry with his new sister.",Amy Heckerling,"['Amy Heckerling', 'Amy Heckerling']","['John Travolta', 'Kirstie Alley', 'Olympia Dukakis', 'Elias Koteas', 'Twink Caplan', 'Bruce Willis', 'Roseanne Barr', 'Damon Wayans', 'Gilbert Gottfried', 'Mel Brooks', 'Lorne Sussman', 'Megan Milner', 'Georgia Keithley', 'Nikki Graham', 'Danny Pringle', 'Louis Heckerling', 'Neal Israel', 'Lesley Ewen']",Amy Heckerling
My New Gun,1992,1992,5.3,"Debbie (Diane Lane) and Gerald's lives drastically change after they get a gun. Their mysterious neighbor, Skippy, becomes an important and transforming figure in their lives.",Stacy Cochran,"['Stacy Cochran', 'Stacy Cochran']","['Diane Lane', 'James Le Gros', 'Stephen Collins', 'Tess Harper', 'Bruce Altman', 'Maddie Corman', 'Bill Raymond', 'Suzzy Roche', 'Philip Seymour Hoffman', 'Patti Chambers', 'Stephen Pearlman', 'Leslie Brett Daniels', 'Paul J.Q. Lee', 'Angela Marie Baker', 'Kent Gash', 'Gene Canfield', 'Gussie Levy', 'LaChanze']",Stacy Cochran
The Strong Man,1926,1926,6.6,"A meek Belgian soldier, fighting in World War I, receives a letter and a photo from ""Mary Brown"", an American girl he has never met. After the war, he travels to America searching for her.",Frank Capra,"['Frank Capra', 'Arthur Ripley']","['Harry Langdon', 'Priscilla Bonner', 'Gertrude Astor', 'William V. Mong', 'Robert McKim', 'Arthur Thalasso', 'Brooks Benedict', 'Helen Brent', 'Tay Garnett', 'Douglas Haig']",Frank Capra
Shorts,2008,2008,4.7,"A young boy's discovery of a colorful, wish-granting rock causes chaos in the suburban town of Black Falls when jealous kids and scheming adults alike set out to get their hands on it.",Robert Rodriguez,"['Robert Rodriguez', 'Robert Rodriguez']","['Jimmy Bennett', 'James Spader', 'Kat Dennings', 'Jake Short', 'Trevor Gagnon', 'Devon Gearhart', 'Jolie Vanier', 'Rebel Rodriguez', 'Leo Howard', 'Leslie Mann', 'Jon Cryer', 'William H. Macy', 'Angela Lanza', 'Alejandro Rose-Garcia', 'Cambell Westmoreland', 'Zoe Webb', 'Chris Orf', 'Tina Rodriguez']",Robert Rodriguez
White Hunter Black Heart,1990,1990,6.5,"A thinly fictionalized account of a legendary movie director, whose desire to hunt down an animal turns into a grim situation with his movie crew in Africa.",Clint Eastwood,"['Clint Eastwood', 'Peter Viertel']","['Clint Eastwood', 'Jeff Fahey', 'Charlotte Cornwell', 'Norman Lumsden', 'George Dzundza', 'Edward Tudor-Pole', 'Roddy Maude-Roxby', 'Richard Warwick', 'John Rapley', 'Catherine Neilson', 'Marisa Berenson', 'Richard Vanstone', 'Jamie Koss', 'Anne Dunkley', 'David Danns', 'Myles Freeman', 'Geoffrey Hutchings', 'Christopher Fairbank']",Clint Eastwood
The Losers,2010,2010,6.3,"A CIA special forces team is betrayed and left for dead by their superiors, galvanizing them to mount an offensive on the CIA.",Sylvain White,"['Sylvain White', 'Peter Berg']","['Idris Elba', 'Zoe Saldana', 'Jeffrey Dean Morgan', 'Chris Evans', 'Columbus Short', 'Óscar Jaenada', 'Jason Patric', 'Holt McCallany', 'Peter Macdissi', 'Peter Francis James', 'Tanee McCall', 'Mark Ginther', 'Daniel Kalal', 'Colin Follenweider', 'Garrett Warren', 'Rey Hernandez', 'Ernesto Morales', 'Evan Mirand']",Sylvain White
Far and Away,1992,1992,6.6,"A young Irish couple flee to the States, but subsequently struggle to obtain land and prosper freely.",Ron Howard,"['Ron Howard', 'Bob Dolman']","['Tom Cruise', 'Nicole Kidman', 'Thomas Gibson', 'Robert Prosky', 'Barbara Babcock', 'Cyril Cusack', 'Eileen Pollock', 'Colm Meaney', 'Douglas Gillison', 'Michelle Johnson', 'Wayne Grace', 'Niall Toibin', 'Barry McGovern', 'Gary Lee Davis', 'Jared Harris', ""Steven O'Donnell"", 'Peadar Lamb', 'Mark Mulholland']",Ron Howard
Raising Cain,1992,1992,6.0,"The oncologist wife of a prominent child psychologist suspects her husband has an unhealthy scientific obsession with their child, unaware of what - or who - is really going on inside his head.",Brian De Palma,"['Brian De Palma', 'Brian De Palma']","['John Lithgow', 'Lolita Davidovich', 'Steven Bauer', 'Frances Sternhagen', 'Gregg Henry', 'Tom Bower', 'Mel Harris', 'Teri Austin', 'Gabrielle Carteris', 'Barton Heyman', 'Amanda Pombo', 'Kathleen Callan', 'Ed Hooks', 'Jim Johnson', 'Karen Kahn', 'Noe Montoya', 'Riq Boogie Espinoza', 'Carolyn Morrell']",Brian De Palma
Toys,1992,1992,5.1,"When Lieutenant General Leland Zevo (Sir Michael Gambon) inherits a toymaking company and begins making war toys, his employees band together to stop him before he ruins the name of Zevo Toys forever.",Barry Levinson,"['Barry Levinson', 'Valerie Curtin']","['Robin Williams', 'Michael Gambon', 'Joan Cusack', 'Robin Wright', 'LL Cool J', ""Donald O'Connor"", 'Arthur Malet', 'Jack Warden', 'Debi Mazar', 'Wendy Melvoin', 'Julio Oscar Mechoso', 'Jamie Foxx', 'Shelly Desai', 'Blake Clark', 'Art Metrano', 'Tommy Townsend', 'Clinton Allmon', 'Kate Benton']",Barry Levinson
The Strangers,2008,2008,6.1,A young couple staying in an isolated vacation home are terrorized by three unknown assailants.,Bryan Bertino,"['Bryan Bertino', 'Bryan Bertino']","['Scott Speedman', 'Liv Tyler', 'Gemma Ward', 'Alex Fisher', 'Peter Clayton-Luce', 'Kip Weeks', 'Laura Margolis', 'Glenn Howerton', 'Nick Barghini', 'Shawn McClellan', 'Jordan Orr']",Bryan Bertino
Reign of Fire,2002,2002,6.2,"A brood of fire-breathing dragons emerges from the earth and begins setting everything ablaze, establishing dominance over the planet.",Rob Bowman,"['Rob Bowman', 'Gregg Chabot']","['Matthew McConaughey', 'Christian Bale', 'Izabella Scorupco', 'Gerard Butler', 'Scott Moutter', 'David Kennedy', 'Alexander Siddig', 'Ned Dennehy', 'Rory Keenan', 'Terence Maynard', 'Doug Cockle', 'Randall Carlton', 'Chris Kelly', 'Ben Thornton', 'Alice Krige', 'Malcolm Douglas', 'Dessie Gallagher', 'Martin Linnane']",Rob Bowman
Io sono l'amore,2009,2009,7.0,"Emma left Russia to live with her husband in Italy. Now a member of a powerful industrial family, she is the respected mother of three, but feels unfulfilled. One day, Antonio, a talented chef and her son's friend, makes her senses kindle.",Luca Guadagnino,"['Luca Guadagnino', 'Barbara Alberti']","['Tilda Swinton', 'Flavio Parenti', 'Edoardo Gabbriellini', 'Alba Rohrwacher', 'Pippo Delbono', 'Maria Paiato', 'Diane Fleri', 'Waris Ahluwalia', 'Mattia Zaccaro', 'Ginevra Notarbartolo', 'Giangaleazzo Visconti di Modrone', 'Gabriele Ferzetti', 'Marisa Berenson', 'Liliana Flores', 'Jimmi Carlos Zuniga Macias', 'Piero Castellini', 'Claudia Monicelli Bagnarelli', 'Emanuele Cito Filomarino']",Luca Guadagnino
The Fog,1980,1980,6.8,An unearthly fog rolls into a small coastal town exactly 100 years after a ship mysteriously sank in its waters.,John Carpenter,"['John Carpenter', 'John Carpenter']","['Adrienne Barbeau', 'Jamie Lee Curtis', 'Janet Leigh', 'John Houseman', 'Tom Atkins', 'James Canning', 'Charles Cyphers', 'Nancy Kyes', 'Ty Mitchell', 'Hal Holbrook', 'John F. Goff', ""George 'Buck' Flower"", 'Regina Waldon', 'Jim Haynie', 'Darrow Igus', 'John Vick', 'Jim Jacobus', 'Fred Franklyn']",John Carpenter
Gone in Sixty Seconds,2000,2000,6.5,A retired master car thief must come back to the industry and steal fifty cars with his crew in one night to save his brother's life.,Dominic Sena,"['Dominic Sena', 'H.B. Halicki']","['Nicolas Cage', 'Angelina Jolie', 'Giovanni Ribisi', 'T.J. Cross', 'William Lee Scott', 'Scott Caan', 'James Duval', 'Will Patton', 'Delroy Lindo', 'Timothy Olyphant', 'Chi McBride', 'Robert Duvall', 'Christopher Eccleston', 'Vinnie Jones', 'Grace Zabriskie', 'Michael Owen', 'Jaime Bergman', 'Holiday Hadley']",Dominic Sena
A Sound of Thunder,2005,2005,4.2,"A single mistake in the past, by a time travel company in the future, has devastating and unforeseen consequences.",Peter Hyams,"['Peter Hyams', 'Ray Bradbury']","['Edward Burns', 'Ben Kingsley', 'Catherine McCormack', 'Armin Rohde', 'Heike Makatsch', 'Jemima Rooper', 'David Oyelowo', 'Wilfried Hochholdinger', 'August Zirner', 'Alvin Van Der Kuech', 'Andrew Blanchard', 'William Armstrong', 'Corey Johnson', 'Nikita Lespinasse', 'Scott Bellefeville', 'Sai-Kit Yung', 'Han-Chou Ho', 'Antonin Hausknecht']",Peter Hyams
Halloween II,1981,1981,6.5,"While Dr. Loomis hunts for Michael Myers, a traumatized Laurie is rushed to Haddonfield Memorial Hospital, and The Shape is not far behind her.",Rick Rosenthal,"['Rick Rosenthal', 'John Carpenter']","['Jamie Lee Curtis', 'Donald Pleasence', 'Charles Cyphers', 'Jeffrey Kramer', 'Lance Guest', 'Pamela Susan Shoop', 'Hunter von Leer', 'Dick Warlock', 'Leo Rossi', 'Gloria Gifford', 'Tawny Moyer', 'Ana Alicia', 'Ford Rainey', 'Cliff Emmich', 'Nancy Stephens', 'John Zenda', 'Catherine Bergstrom', 'Alan Haufrect']",Rick Rosenthal
Gold,2016,2016,6.7,"Kenny Wells, a prospector desperate for a lucky break, teams up with a similarly eager geologist and sets off on a journey to find gold in the uncharted jungle of Indonesia.",Stephen Gaghan,"['Stephen Gaghan', 'Patrick Massett']","['Matthew McConaughey', 'Edgar Ramírez', 'Bryce Dallas Howard', 'Corey Stoll', 'Toby Kebbell', 'Bill Camp', 'Joshua Harto', 'Timothy Simons', 'Craig T. Nelson', 'Macon Blair', 'Adam LeFevre', 'Frank Wood', 'Michael Landes', 'Bhavesh Patel', 'Rachael Taylor', 'Stacy Keach', 'Bruce Greenwood', 'Vic Browder']",Stephen Gaghan
The Space Between Us,2017,2017,6.4,"The first human born on Mars travels to Earth for the first time, experiencing the wonders of the planet through fresh eyes. He embarks on an adventure with a street-smart girl to discover how he came to be.",Peter Chelsom,"['Peter Chelsom', 'Allan Loeb']","['Gary Oldman', 'Asa Butterfield', 'Carla Gugino', 'Britt Robertson', 'Janet Montgomery', 'Trey Tucker', 'Scott Takeda', ""Adande 'Swoozie' Thorne"", 'Sarah Minnich', 'Ryan Jason Cook', 'BD Wong', 'Lauren Chavez-Myers', 'Morse Bicknell', 'Beth Bailey', 'Peter Chelsom', 'William Sterchi', 'Anthony Jarvis', 'Zacciah Hanson']",Peter Chelsom
Driven,2001,2001,4.6,A young hot shot driver is in the middle of a championship season and is coming apart at the seams. A former CART champion is called in to give him guidance.,Renny Harlin,"['Renny Harlin', 'Jan Skrentny']","['Sylvester Stallone', 'Kip Pardue', 'Til Schweiger', 'Burt Reynolds', 'Stacy Edwards', 'Gina Gershon', 'Estella Warren', 'Cristián de la Fuente', 'Brent Briscoe', 'Robert Sean Leonard', 'Verona Pooth', 'Jasmin Wagner', 'Chip Ganassi', 'John Della Penna', 'Dan Duran', 'Rob Smith', 'Richard Zeppieri', 'Tino Monte']",Renny Harlin
Buddy,1997,1997,4.8,"A depiction of the true life story of Gertrude Lintz, an eccentric 1920's socialite who tries to raise a gorilla, like many chimps before him, as part of her family.",Caroline Thompson,"['Caroline Thompson', 'Gertrude Davies Lintz']","['Rene Russo', 'Robbie Coltrane', 'Alan Cumming', 'Irma P. Hall', 'Peter Elliott', 'Mak Wilson', 'Lynn Robertson Bruce', 'Mark Sealey', 'Robert Tygner', 'Michelan Sisti', 'Peter Hurst', 'Leif Tilden', 'Star Townsend', 'Paul Reubens', 'John Aylward', 'Mimi Kennedy', 'Jon Simmons', 'Kathleen Klein']",Caroline Thompson
Planet of the Apes,2001,2001,5.7,"In 2029, an Air Force astronaut crash-lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans.",Tim Burton,"['Tim Burton', 'Pierre Boulle']","['Mark Wahlberg', 'Helena Bonham Carter', 'Tim Roth', 'Michael Clarke Duncan', 'Paul Giamatti', 'Estella Warren', 'Cary-Hiroyuki Tagawa', 'David Warner', 'Kris Kristofferson', 'Erick Avari', 'Lucas Elliot Eberl', 'Evan Parke', 'Glenn Shadix', 'Freda Foh Shen', 'Chris Ellis', 'Anne Ramsay', 'Andrea Grano', 'Michael Jace']",Tim Burton
Batman & Robin,1997,1997,3.7,Batman and Robin try to keep their relationship together even as they must stop Mr. Freeze and Poison Ivy from freezing Gotham City.,Joel Schumacher,"['Joel Schumacher', 'Bob Kane']","['Arnold Schwarzenegger', 'George Clooney', ""Chris O'Donnell"", 'Uma Thurman', 'Alicia Silverstone', 'Michael Gough', 'Pat Hingle', 'John Glover', 'Elle Macpherson', 'Vivica A. Fox', 'Vendela Kirsebom', 'Elizabeth Sanders', 'Jeep Swenson', 'John Fink', 'Michael Reid MacKay', 'Eric Lloyd', 'Jon Simmons', 'Christian Boeving']",Joel Schumacher
Midnight in the Garden of Good and Evil,1997,1997,6.6,"A visiting city reporter's assignment suddenly revolves around the murder trial of a local millionaire, whom he befriends.",Clint Eastwood,"['Clint Eastwood', 'John Berendt']","['John Cusack', 'Kevin Spacey', 'Jack Thompson', 'Irma P. Hall', 'Jude Law', 'Alison Eastwood', 'Paul Hipp', 'Lady Chablis', 'Dorothy Loudon', 'Anne Haney', 'Kim Hunter', 'Geoffrey Lewis', 'Richard Herd', 'Leon Rippy', 'Bob Gunton', ""Michael O'Hagan"", 'Gary Anthony Williams', 'Tim Black']",Clint Eastwood
Flashdance,1983,1983,6.2,A Pittsburgh woman with two jobs as a welder and an exotic dancer wants to get into ballet school.,Adrian Lyne,"['Adrian Lyne', 'Thomas Hedley Jr.']","['Jennifer Beals', 'Michael Nouri', 'Lilia Skala', 'Sunny Johnson', 'Kyle T. Heffner', 'Lee Ving', 'Ron Karabatsos', 'Belinda Bauer', 'Malcolm Danare', 'Philip Bruns', 'Micole Mercurio', 'Lucy Lee Flippin', 'Don Brockett', 'Cynthia Rhodes', 'Durga McBroom', 'Stacey Pickren', 'Liz Sagal', 'Norman Scott']",Adrian Lyne
Dirigible,1931,1931,6.3,Jack Bradon is tasked to reach the South Pole with a dirigible.,Frank Capra,"['Frank Capra', 'Frank Wead']","['Jack Holt', 'Fay Wray', 'Ralph Graves', 'Hobart Bosworth', 'Roscoe Karns', 'Harold Goodwin', 'Clarence Muse', 'Emmett Corrigan', 'Richard Alexander', 'Bess Flowers', ""George 'Gabby' Hayes"", 'Edward Hearn', 'Selmer Jackson', 'Eddie Kane', 'Kenneth MacDonald', 'Adrian Morris', ""William H. O'Brien"", ""Broderick O'Farrell""]",Frank Capra
Zeus and Roxanne,1997,1997,5.2,A touching friendship story between a dog and a dolphin.,George Miller,"['George Miller', 'Tom Benedek']","['Steve Guttenberg', 'Kathleen Quinlan', 'Arnold Vosloo', 'Dawn McMillan', 'Miko Hughes', 'Majandra Delfino', 'Jessica Howell', 'Duchess Tomasello', 'Shannon K. Foley', 'Jim R. Coleman', 'Alvin Farmer', 'Harri James', 'Justin Humphrey', 'James Stone', 'Maury Covington', 'Michael A. Xynidis', 'Nathan R. Fitzgerald', 'Benjamin Pettijohn']",George Miller
Yat goh ho yan,1997,1997,6.2,"A Chinese chef accidentally gets involved with a news reporter who filmed a drug bust that went awry, and is now being chased by gangs who are trying to get the video tape.",Sammo Kam-Bo Hung,"['Sammo Kam-Bo Hung', 'Fibe Ma']","['Jackie Chan', 'Richard Norton', 'Miki Lee', 'Karen McLymont', 'Gabrielle Fitzpatrick', 'Vince Poletto', 'Barry Otto', 'Sammo Kam-Bo Hung', 'Emil Chau', 'Joyce Godenzi', 'Peter Houghton', 'Peter Lindsay', 'David Will No', 'Rachel Blakely', 'Judy Green', 'Stefan Fredrich', 'Stuart Ritchie', 'Jonathan Isgar']",Sammo Kam-Bo Hung
Amistad,1997,1997,7.3,"In 1839, the revolt of Mende captives aboard a Spanish owned ship causes a major controversy in the United States when the ship is captured off the coast of Long Island. The courts must decide whether the Mende are slaves or legally free.",Steven Spielberg,"['Steven Spielberg', 'David Franzoni']","['Djimon Hounsou', 'Matthew McConaughey', 'Anthony Hopkins', 'Morgan Freeman', 'Nigel Hawthorne', 'David Paymer', 'Pete Postlethwaite', 'Stellan Skarsgård', 'Razaaq Adoti', 'Abu Bakaar Fofanah', 'Anna Paquin', 'Tomas Milian', 'Chiwetel Ejiofor', 'Derrick N. Ashong', 'Geno Silva', 'John Ortiz', 'Ralph Brown', 'Darren E. Burrows']",Steven Spielberg
I Am Sam,2001,2001,7.6,A mentally handicapped man fights for custody of his 7-year-old daughter and in the process teaches his cold-hearted lawyer the value of love and family.,Jessie Nelson,"['Jessie Nelson', 'Kristine Johnson']","['Sean Penn', 'Michelle Pfeiffer', 'Dakota Fanning', 'Dianne Wiest', 'Loretta Devine', 'Richard Schiff', 'Laura Dern', 'Brad Silverman', 'Joseph Rosenberg', 'Stanley DeSantis', 'Doug Hutchison', 'Rosalind Chao', 'Ken Jenkins', 'Wendy Phillips', 'Mason Lucero', 'Scott Paulin', 'Bobby Cooper', 'Kit McDonough']",Jessie Nelson
G.I. Jane,1997,1997,6.0,A female Senator succeeds in enrolling a woman into Combined Reconnaissance Team training where everyone expects her to fail.,Ridley Scott,"['Ridley Scott', 'Danielle Alexandra']","['Demi Moore', 'Viggo Mortensen', 'Anne Bancroft', 'Jason Beghe', 'Daniel von Bargen', 'John Michael Higgins', 'Kevin Gage', 'David Warshofsky', 'David Vadim', 'Morris Chestnut', 'Josh Hopkins', 'Jim Caviezel', 'Boyd Kestner', 'Angel David', 'Stephen Ramsey', 'Gregg Bello', 'Scott Wilson', 'Lucinda Jenney']",Ridley Scott
Losin' It,1982,1982,4.9,"Set in 1965, four rowdy teenage guys travel to Tijuana, Mexico for a night of partying when they are joined by a heartbroken housewife who is in town seeking a quick divorce.",Curtis Hanson,"['Curtis Hanson', 'Bill Norton']","['Tom Cruise', 'Jackie Earle Haley', 'John Stockwell', 'John P. Navin Jr.', 'Shelley Long', 'Henry Darrow', 'Hector Elias', 'Daniel Faraldo', 'Mario Marcelino', 'Rick Rossovich', 'James Victor', 'Kale Browne', 'Enrique Castillo', 'Cornelio Hernandez', 'Hector Morales', 'Santos Morales', 'John Valby', 'Laura James']",Curtis Hanson
Absolute Power,1997,1997,6.7,Career thief Luther Whitney (Clint Eastwood) witnesses a horrific crime involving U.S. President Alan Richmond (Gene Hackman).,Clint Eastwood,"['Clint Eastwood', 'David Baldacci']","['Clint Eastwood', 'Gene Hackman', 'Ed Harris', 'Laura Linney', 'Scott Glenn', 'Dennis Haysbert', 'Judy Davis', 'E.G. Marshall', 'Melora Hardin', 'Kenneth Welsh', 'Penny Johnson Jerald', 'Richard Jenkins', 'Mark Margolis', 'Elaine Kagan', 'Alison Eastwood', 'Yau-Gene Chan', 'George Orrison', 'Charles McDaniel']",Clint Eastwood
The Glass Castle,2017,2017,7.1,A young girl comes of age in a dysfunctional family of nonconformist nomads with a mother who's an eccentric artist and an alcoholic father who would stir the children's imagination with hope as a distraction to their poverty.,Destin Daniel Cretton,"['Destin Daniel Cretton', 'Destin Daniel Cretton']","['Brie Larson', 'Woody Harrelson', 'Naomi Watts', 'Ella Anderson', 'Chandler Head', 'Max Greenfield', 'Josh Caras', 'Charlie Shotwell', 'Iain Armitage', 'Sarah Snook', 'Sadie Sink', 'Olivia Kate Rice', 'Brigette Lundy-Paine', 'Shree Crooks', 'Eden Grace Redfield', 'Robin Bartlett', 'Joe Pingue', 'A.J. Henderson']",Destin Daniel Cretton
Jigsaw,2017,2017,5.7,"Bodies are turning up around the city, each having met a uniquely gruesome demise. As the investigation proceeds, evidence points to one suspect: John Kramer, the man known as Jigsaw, who has been dead for over 10 years.",Michael Spierig,"['Michael Spierig', 'Peter Spierig']","['Matt Passmore', 'Tobin Bell', 'Callum Keith Rennie', 'Hannah Emily Anderson', 'Clé Bennett', 'Laura Vandervoort', 'Paul Braunstein', 'Mandela Van Peebles', 'Brittany Allen', 'Josiah Black', 'Edward Ruttle', 'Michael Boisvert', 'Sam Koules', 'Troy Feldman', 'Shaquan Lewis', 'Esther Thibault', 'Lauren Beatty', 'Nadine Whiteman Roden']",Michael Spierig
